TRANSACTION_ID,TRANSACTION_TYPE,TRANSACTION_PURPOSE
61343940-11e3-4ef9-900d-78dee080a879F96472E07AD629B4F85724C6BCE35AED57C23C9A3BA347494785518C3EC9ABA6,Credit,Gambling
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f97B099C80A4D591ADEF0D5FFFBFF56D41AC4368D7DCA5A5B0AAC41994A410BF90,Debit,"Food, Groceries, Household"
61343940-11e3-4ef9-900d-78dee080a879438BC6D06784677087D065A63B2791019028CA5B71CAD6F9D05BD4D7DC18C34C,Debit,Mobile
61343940-11e3-4ef9-900d-78dee080a87953C3CC9DF1586C64A9888AA82A438DF7072B56B2A0DF32056DC60B29A3C3AA52,Debit,Gambling
61343940-11e3-4ef9-900d-78dee080a879783A8D67D2F6916325DB3F7A39B4F2BEE8B9DAE1912AEA9B64919B50315C5F76,Debit,"Food, Groceries, Household"
9219ccc1-8148-486d-bff1-891693d2fafd46A0C870FED7550C350A3AFF4DE6A8BF78CF5A4B789F0EAB6529B076A60189EB,Debit,Mobile
9219ccc1-8148-486d-bff1-891693d2fafd64A976D4DDF094C165B5026EBD6B255ABC2511282F5098954A53A4856A70C722,Debit,Games and gaming
9219ccc1-8148-486d-bff1-891693d2fafd8C42D0E6E18540A986655B3AD8FE03C68767A122D54C498A19C079B7E09C589D,Debit,No Tag
9219ccc1-8148-486d-bff1-891693d2fafdBED44630850BD5AA241747DA8776D4455F5D86633CAB9D0365CBC10C378A3AA9,Debit,No Tag
9219ccc1-8148-486d-bff1-891693d2fafd804C4834B290482047C63A22E98C94FC59A1BAB52888098A18CFD8223154E590,Debit,"Food, Groceries, Household"
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f9E0040ECE0DAF4626AAAA93569C414A6DBBAC535683FA9F226826DF6E53DC19AD,Debit,Cash
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f9B99CFCD2B51FCA970DA86DB9D8D69C00B36AB1A9F961FC712B406C6FE64DC133,Debit,Enjoyment
61343940-11e3-4ef9-900d-78dee080a879FE19007F90AE635E796BF0B7BDD6C48E457AEFC769BC49C1B74E5D3BE5D27549,Debit,"Entertainment, TV, Media"
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f9B840EB3D7F80A29A29F809F7B8373DA0EF1DDF9B71C9F56D074969522BBA031C,Debit,"Food, Groceries, Household"
61343940-11e3-4ef9-900d-78dee080a879B3503F1E4392F881597985775BD3B9559616286D41621E3D90015D5AC36C5A2A,Debit,"Entertainment, TV, Media"
61343940-11e3-4ef9-900d-78dee080a8792237E8C0DBEBF97D11116B181E0B02DF851C86630F4CF09EC2E98F8564C0A743,Debit,Gambling
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f9FA69ADC146F7B8A5DA0551F0AEC49F01486279A4CF1A1BF6B97E0909A469B258,Debit,"Energy (Gas, Elec, Other)"
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f96351743BD072CA9E68313E1A502ADB504EF55D6D4AB4D5DD24B7DCF957275C57,Debit,"Food, Groceries, Household"
9219ccc1-8148-486d-bff1-891693d2fafdBF6656083F871621E800DE158A450C11F32D89821028E40EA3A89C56AF7B40E8,Credit,No Tag
9219ccc1-8148-486d-bff1-891693d2fafdB662C9C4F49DFD9E96FA974DFB4637DE3E2759CD975B786DA092EC2B5D65534D,Debit,"Food, Groceries, Household"
9219ccc1-8148-486d-bff1-891693d2fafd260D9090B6DAC3F643DAD8DFE246CC7349051C723B5FD1778F1CF64B4F16C710,Debit,Personal Loan
9219ccc1-8148-486d-bff1-891693d2fafdC0F75B7EF88194D6523FB61716952E636BEA052E148934F23668E9D7B66A66FD,Debit,No Tag
9219ccc1-8148-486d-bff1-891693d2fafd868E863679AD4F238F9C98D21B12E25E1B41FFF039D61B9D5DB3F00EC03C5F7C,Debit,Personal Loan
61343940-11e3-4ef9-900d-78dee080a8799EDA3F1C1403FA26A3813E5F584AC9678A7044DFE76647D5DB6537E2F9DA01C8,Debit,Gambling
61343940-11e3-4ef9-900d-78dee080a8791EDFDAE59CD6FC38BF4D429E1ECC1D1F99087AAF8F544C1A8B1A3A443C3CB78E,Debit,Transfers
61343940-11e3-4ef9-900d-78dee080a87929FB059A8349D1718C7C381AAA82B4363B0822F42591F539DB7CACCE6DF2DB7A,Debit,Enjoyment
61343940-11e3-4ef9-900d-78dee080a879B615EBF8F09AB7FC821C02858B12D0A79C57A6A0D45EDD25BFF5F83F5523D479,Debit,Enjoyment
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f9F2F11CE8E8CE4BA1B00B9495D3CE96FD96D3AAD3A38A28EF4ED3420BE438607A,Debit,Fuel
61343940-11e3-4ef9-900d-78dee080a879BD31C7C2140368999D9BF4A3AD350BB2112033A2B063FF6D93A2C12D07F6E64E,Credit,Transfers
61343940-11e3-4ef9-900d-78dee080a87986AB5A8631974906D74A571C65FA40126A37887FEE8634843731849B98BDD8FC,Credit,Gambling
61343940-11e3-4ef9-900d-78dee080a879BE920FCA4E0E87310C44E5B05EB68A236F5198FCAF5F4595F29B40D96DD4F81E,Debit,"Food, Groceries, Household"
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f9859ABFB8914959300FBDF8534CE143D980E2595BBC4BB22FA2461046E017C9AA,Credit,No Tag
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f93AC404533F907E19F07ECCEAB735F818FFA5F4E53D6F0B6371DB1D761492A94A,Debit,No Tag
9219ccc1-8148-486d-bff1-891693d2fafdDD730FAD2171F15B6032EC9FFBC45AD41684DE31169AEF8BFD8554621838361A,Debit,"Food, Groceries, Household"
9219ccc1-8148-486d-bff1-891693d2fafd04854D2B4CEE2FC897D615668E3458E14C6B704EF8C29733FA873D881B88A644,Debit,Personal Loan
7f3e9a70-c064-4cf3-8612-bd6a7d6fe7c0DF4DBA976F2782D3F2026D56F208FB11B76A27C292019CD33DBB1FADD3190879,Credit,Enjoyment
61343940-11e3-4ef9-900d-78dee080a879CC7ED8E9FB6D05A9877D3DF291127A0248E96D0A8089B3FEDD6152BC3A9F28FC,Debit,Transfers
61343940-11e3-4ef9-900d-78dee080a879629A895A2DC9B68894CEB2DF33CF6C273218FAC24AA6791712BEFF59D9CC2D0E,Debit,Music
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f9B01BFA565663A1B139D30B78328FEC88F2A80FF110DA85E57B70AFA573336A05,Debit,Fuel
61343940-11e3-4ef9-900d-78dee080a8799CAA3888C948FE7000D7D85F9EAF23871C7A8A8DA8EC1EC697D12D3027A02780,Debit,"Entertainment, TV, Media"
61343940-11e3-4ef9-900d-78dee080a879AD9C364A51C26B5F4A719DC8F83D06FFB161351B30681A615B3910B99FCD3BED,Debit,No Tag
61343940-11e3-4ef9-900d-78dee080a879E6C129E82A17BDCEBA58D5AD3C7DAEFE1A74B5790BBFD43008CD600548A84F60,Debit,"Entertainment, TV, Media"
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f9C35C99C9E68B393D48A0CC8D01A6A2FB58ABD203AAFCB6F7B6FC6CE20C7BAEDB,Debit,Mobile
61343940-11e3-4ef9-900d-78dee080a8792DF556E4FDFA319BA35C69C46D2BB38718651B5C3DD7DF7F4B17660FF2959387,Debit,No Tag
9219ccc1-8148-486d-bff1-891693d2fafdBDD59F162F53EE58AA778D6C9A248B1E023CE972E17FA9D9DB7D9A805095B467,Debit,Dining and drinking
9219ccc1-8148-486d-bff1-891693d2fafd2D5B5DFF0A1D85187A18C53688EB35FC81FC85E1E1F8C8DEA89575EA0A1014D7,Debit,"Food, Groceries, Household"
9219ccc1-8148-486d-bff1-891693d2fafdF01D2F152EA2C7F40FF1E7B9BCD93420D0FC695A6BD2001ED00F02B8595C5F50,Debit,Hobbies or Activities
9219ccc1-8148-486d-bff1-891693d2fafdE55518D4B476F10BCAA41C64C18BCD3E3D02AC0D591532F8FC617B21497EC379,Debit,Clothes - Everyday or Work
9219ccc1-8148-486d-bff1-891693d2fafd53C2AA8E49E6293C5DC66D5F5CB23326DCABED9C10190EA290AA9F24EC5E34B3,Debit,Dining or Going Out
61343940-11e3-4ef9-900d-78dee080a879D99345EF20954AEBBC7E76F7FB1C07A34849F8F722653C161275892B029C1DF1,Debit,"Entertainment, TV, Media"
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f92A1ED3EFE9DCA263001DEFA43F983A0C685198C9ED9DD8AF47B9C37F743D8DC3,Debit,"Food, Groceries, Household"
61343940-11e3-4ef9-900d-78dee080a879D680D98DF7A55EF010ED500DDF8E5AD77296324288D7B6525345F180DD199AA1,Debit,Gambling
61343940-11e3-4ef9-900d-78dee080a8798DF12D67275C474F14CA877719DB2F51BEF37193E858FF7E84F6D89A0FEFD53D,Debit,Enjoyment
9219ccc1-8148-486d-bff1-891693d2fafdD4D2A73B23F25D2989C65164A7A25EFB2032A800DDF86629E8C9DCBC49239066,Debit,Rent
9219ccc1-8148-486d-bff1-891693d2fafd52DFA1FCADDB68AFFD00D365E874CFFDCAAD7BADEA28073479C3BAE4D40C85B1,Credit,No Tag
