TRANSACTION_ID,TRANSACTION_TYPE,TRANSACTION_PURPOSE
61343940-11e3-4ef9-900d-78dee080a8793A17FDF0E2AB39E846273A3401B486DC231E48AFCBFBF167DAD0E07B7317A92D,Debit,Insurance
61343940-11e3-4ef9-900d-78dee080a8794C17059EFE4210ED677C297FD66395F02B6B9D616F787AB79FDBA3ED45571C17,Debit,Games and gaming
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f97FDE6E9693DBE3A2831151199E8ABD4BDAC84868B2F114AA7A181367B1CEE3CA,Debit,Breakdown cover
61343940-11e3-4ef9-900d-78dee080a8794433BB96FCC348B41F5DD02DDBC6C4005557260280EB8DFDAEC6937B98665EC5,Debit,Dental treatment
61343940-11e3-4ef9-900d-78dee080a8797E462BE27652B9B46BE70932B6BAC77946AB1867AD73E98E423B2DC54F5D084A,Debit,"Food, Groceries, Household"
61343940-11e3-4ef9-900d-78dee080a879CF0BA5B7042212DFECED7399C76EB3E5B9004E7C67C80115C7E2958DB85722A0,Debit,Enjoyment
61343940-11e3-4ef9-900d-78dee080a879D65E9B8F1D75D389FEB41CACF50A143B157199D1278C424D7836C7A00782BE89,Debit,Gym Membership
61343940-11e3-4ef9-900d-78dee080a87963CE6BB75E2CD9B5F8C63C130AEBC442AECB94B4323651373810428F9EF806DE,Debit,"Entertainment, TV, Media"
61343940-11e3-4ef9-900d-78dee080a879D0F269DFB1C930AF16BC963739E91F49313F61D99CBCFF862ABAB12CF870D37A,Debit,"Entertainment, TV, Media"
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f9287F3FE0EB727A975004BE105C62E4D279F9DE67E649B21173AB45F68340CC39,Debit,Personal Loan
61343940-11e3-4ef9-900d-78dee080a879319A3F7D73361BC562262E2E34378CEB437205C8E8FF0E31BDB2DF72AAFE595C,Debit,Dining and drinking
9219ccc1-8148-486d-bff1-891693d2fafdDCAFB8A9077242777F4EFBFBB9CBDCA1EC251DEE63732DD88C7BBB983F6E2BCC,Debit,Gambling
9219ccc1-8148-486d-bff1-891693d2fafdFEF94BAF506B336B9E93EF24A07FA9F5E7536D8BE6488021361B409CBAC4D991,Debit,No Tag
9219ccc1-8148-486d-bff1-891693d2fafdFD99D4D70F24C56FC32BAD9BB2E35C6457DD5D4E218BB9AEA22CF849AE67A849,Debit,Public Transport
9219ccc1-8148-486d-bff1-891693d2fafd5293AE79AC11FBD39C1C73674C7D51853A0AB05BFC8D8E986CE316DDC02CDD8F,Debit,Bills
61343940-11e3-4ef9-900d-78dee080a879459C5DD2D344DCA354276F9A3778916432FD8C20D9E98D75985964B27DA89AB0,Debit,"Entertainment, TV, Media"
61343940-11e3-4ef9-900d-78dee080a879C29A2B4A53070194614B47F160037BD93C529755814A3BB55630B775366642DC,Debit,"Food, Groceries, Household"
61343940-11e3-4ef9-900d-78dee080a879339A78450281CABA0C10A7F4F21BE23C04B189E072D317A3770578C5678D0488,Debit,Gambling
61343940-11e3-4ef9-900d-78dee080a879AD54C3B06943D8C4B0CBD4CB3BE1A3899B616F638541930154B58F6E1E721A88,Debit,No Tag
08cb3cb6-5792-4308-b121-caa94d0a9a5a9FD9D9306E3050EBF25B986C5E1A029BA92BCBB155BF5E1AE8CAC76892E783F2,Debit,Bank charges
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f9D50B94849DE85B8FEE2ED7BA953BC235C1A92F5AEC7FD3B6AC275DC19C73AB77,Debit,"Food, Groceries, Household"
61343940-11e3-4ef9-900d-78dee080a8791EF6C1079819060E5FB3020CEB2369B5E20807E93DCC0C7E32F20D55C4136AF5,Debit,Dining and drinking
61343940-11e3-4ef9-900d-78dee080a8793AC04CACBF45BE3D39C3CC1304B99733214FD60B72D358ABB4161AE056573D17,Debit,Gambling
61343940-11e3-4ef9-900d-78dee080a879C4BFA3BDF1C362A7F714582D3569BE0473EF935F9FB421F4C259C3BF00BA91EA,Debit,No Tag
9219ccc1-8148-486d-bff1-891693d2fafd9A792C8242FC1B4FD1BBFB16ED4B24ABAB8B86D2995BDA29B560FBDFC5CC8BEB,Debit,No Tag
61343940-11e3-4ef9-900d-78dee080a8797EAED238CF5B5120EC76787BD400DCF3F0E726450991F74808B3FFF52D8E4CA4,Debit,Gambling
61343940-11e3-4ef9-900d-78dee080a8799FFBCC90984D48B8AAD7F4823F1F969562AA5E233D2581D8B90F6CEF27955F9E,Debit,Gambling
61343940-11e3-4ef9-900d-78dee080a8796E6431F871AB5E1CD663F657F63DAC1DCEE88839041D82D8B4E731292E42A0A6,Debit,"Entertainment, TV, Media"
61343940-11e3-4ef9-900d-78dee080a8794503125F83BF5324B00F9147B845B7D4D3009D184CA8405F6A20776CF35925BC,Debit,"Food, Groceries, Household"
61343940-11e3-4ef9-900d-78dee080a879D9166D8D71D58FD20543D5201210A884B829B3C422FC10000AEB09E29D5D8DB8,Debit,Enjoyment
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f9295BA3CC3A5F7DA22155E4E15B831A8282409FDD02605B9C690BBD69892F723E,Debit,Clothes - Everyday or Work
61343940-11e3-4ef9-900d-78dee080a879357294C3DD4E27595D4D32734217F16C71C659921CBCFAA208963AA7B4AEA7B2,Debit,Enjoyment
61343940-11e3-4ef9-900d-78dee080a8798CF7587A65DA7C351A950BEC0B8CD225BE63D258E732ADD65A8C87E21CD1331C,Debit,Enjoyment
7f3e9a70-c064-4cf3-8612-bd6a7d6fe7c04725B070B711396F03D7BA10416FD6ADAA631296FAE37246FB613B3A1ABD616A,Debit,Business Expenses
9219ccc1-8148-486d-bff1-891693d2fafdE719976DD8F8A6F43A416BEB4D3808AB95DF9A0213637A4ABAB00E7E5A53C13B,Debit,No Tag
61343940-11e3-4ef9-900d-78dee080a879D6DFFACF2AF3C5913D884ED7C0D8800F5E4D19FE895F866F137570417EAEF183,Debit,Gambling
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f9688C93AB10DBA3D600D0C6BEA7329D1187D3E1BC6F11B674E8F615B35CD0BEAB,Credit,No Tag
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f94D0C90C27A5FA306CE3B0C09E8FD762302F3A85095E05B1601DA0D577A3AAE28,Debit,Lunch or Snacks
61343940-11e3-4ef9-900d-78dee080a8790D6AA9E211FD537FB6767B34650C3841573846D1676F35F145D7BC2C71688C45,Debit,No Tag
61343940-11e3-4ef9-900d-78dee080a87932B5607F4F60604535845428263EF2F25E96FF0FCBF24B5ACA42E056592330FC,Debit,"Entertainment, TV, Media"
61343940-11e3-4ef9-900d-78dee080a8798E30B6E3D92E1D275625E144E00591BC814B1255505E1664639B99C2C29D1954,Debit,Games and gaming
9219ccc1-8148-486d-bff1-891693d2fafd84C80CB8983D559D5F80316EEE5BC0D03C6A039EB55217ACD3228AA74F95CD23,Debit,"Food, Groceries, Household"
9219ccc1-8148-486d-bff1-891693d2fafdB57003A2B3DC931D26446707E74AFD66C84B306F57BB9FB70068DB372C1E503E,Debit,Clothes - Everyday or Work
61343940-11e3-4ef9-900d-78dee080a87927580DD75CD29FA7A2CDBB3F28B96F1FA26EDE5CD91CDD53B249D3BF3768BA00,Debit,TV Licence
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f9177DFAABCD80787309666BB102E57719A71B1DD099B10E126D6AECE5DFDE7056,Debit,Insurance
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f9A1FA8FECDCCA06D097F3242A715FCC96B46884CA43C177D99BCF4118ADA39708,Debit,Fuel
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f997F85820F19490F30B6279E9784180E587AEEEB600D4C3F5EBF14627211271DB,Credit,No Tag
9219ccc1-8148-486d-bff1-891693d2fafdA5A4F11F1B78CB812735C7DD46B7B97DF6527C031B2961A09FE98C0E7EFD4FCA,Debit,"Food, Groceries, Household"
9219ccc1-8148-486d-bff1-891693d2fafdE1E4B185DC367323A6D5041DD4D58EB2ECCDC8A9EFD387128B10D1694D3E3E53,Debit,Mobile
9219ccc1-8148-486d-bff1-891693d2fafd3E66881CEACDF3F3BCCBBBA6A2158D95AA07E230B10C5E02A57B1FBF40C2278C,Debit,Bills
9219ccc1-8148-486d-bff1-891693d2fafd2E0AAACBF9CFF7C42ADEF75AD32B06CACB37959F33AE020F9AC4AFD93F93B4D6,Debit,No Tag
9219ccc1-8148-486d-bff1-891693d2fafdDAC6478CF6B419DC6C52DEEAAAA47BC1702A9DFF2636B08A1D7861BF420F12C3,Debit,Bills
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f931E2B205F79066AA767DF32825D59E5C0A9D840427A86F11A415BBCB140A2588,Debit,Cash
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f9C1EAD57F1056A2C5C45BE3CD7AB04D96B76EA3A62B92821AF73648729F95D237,Debit,"Food, Groceries, Household"
61343940-11e3-4ef9-900d-78dee080a8794D8D7B492C7E5A2BB91CACD0604691BD6499A8E396B00DAB88B465DD5125BB30,Debit,No Tag
9219ccc1-8148-486d-bff1-891693d2fafdB4DF2020D679FB4F57733FE833C7F5560930AE1A9FFA0DE7AD1C95F36A2220EA,Debit,Mobile
9219ccc1-8148-486d-bff1-891693d2fafdE246BBEBA8ADA2F694929FCC0096AF150D99DBFF2F52475DC3C039F5B18D8523,Debit,Personal Loan
7f3e9a70-c064-4cf3-8612-bd6a7d6fe7c07F9EB171BBF9D99166DA3184B165357B9D8592E800DE76EC4A215DAAD93EDAA8,Debit,"Food, Groceries, Household"
9219ccc1-8148-486d-bff1-891693d2fafdCE639E192EE131BB98BDA9CCC026D7E67F84C3782A22BCF2CCD2993A17584AB8,Debit,No Tag
9219ccc1-8148-486d-bff1-891693d2fafd14FEA7382D7A8CD267D10021E489BFE103670EC4CAAB586745CC6D80DC823693,Credit,Family benefits
7f3e9a70-c064-4cf3-8612-bd6a7d6fe7c0D692DBA28CE6001C76CD5A7896B4BACBC50BA64F11AF0C8797B3D25BC03A47EB,Debit,Enjoyment
61343940-11e3-4ef9-900d-78dee080a8795AB66ADE1D2B3DC1377C05FF3FB251E5BD511AD9D6673F812E99C2161FCA4607,Debit,Gambling
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f9BC4AA1C8AA52A38455B241A0C353BA29412A38C4DA260E3584E9E8FC11D9BAC6,Debit,Council Tax
61343940-11e3-4ef9-900d-78dee080a87913E06EDBBFED26F4160BA7036B82C1CAF53D725F2C59A76C0A1AE97D65E46437,Debit,Music
61343940-11e3-4ef9-900d-78dee080a8797E734AB8C4AB679A25A265E8B4173FDF11D8A75D743C24C0623102F1715636B2,Debit,Gambling
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f945EB6953A7E89495FC15D85E668B518FFA1759F45600B5C726BF8692A4BF0E52,Debit,"Energy (Gas, Elec, Other)"
61343940-11e3-4ef9-900d-78dee080a879EA600E612B97253E7FF24A44196D8A6A4D708C592E5CD20E0EA79556885937AE,Debit,"Food, Groceries, Household"
9219ccc1-8148-486d-bff1-891693d2fafd3C4314A5DF40A017C97B39CAE248325964B940E371FD34BF5D94C6217C5CB7FF,Debit,No Tag
9219ccc1-8148-486d-bff1-891693d2fafd7C703FDF6DA958D579F9570DE209884ACA4D5D51FC8FF560A370048B15E47D23,Debit,No Tag
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f985B05EFD01C0B920AC25529F36B3E6F21340A75141B3EF69F2C44340C0945F68,Debit,Lunch or Snacks
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f97E1BDEDDC427B89BF78F9DF083DFF0B5539B2C4E545E63E3C0073F9807CE225E,Debit,Take-away
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f9753BE59378BFCDCF21E5A6B2D48287F8AC0B7E7A79EDF5CA21224F924B37BD08,Debit,Transport
9219ccc1-8148-486d-bff1-891693d2fafd574920F10EF20A4828248F49EC6FF8A192AD1E74DD0CDA1F76239F9650DF7160,Credit,No Tag
9219ccc1-8148-486d-bff1-891693d2fafd73E508B202E5BB7955D9240548C024BB65549473B7456A662D125B08F8C9582A,Credit,No Tag
9219ccc1-8148-486d-bff1-891693d2fafdBE1A24B43EB34D1C333494646F557D06490F6DC9F4FE9E492500E9794455CD14,Debit,Personal Loan
7f3e9a70-c064-4cf3-8612-bd6a7d6fe7c02CF583BA4B19C0A4B675148E21D2214DF6F43D0F69FCA5B0E194799AF8856069,Debit,TV Licence
9219ccc1-8148-486d-bff1-891693d2fafd52524BEC40EE40EA99CE3C4661AB929F4CC7B644F3CA5CE9E949B0F8D3F414F2,Credit,No Tag
61343940-11e3-4ef9-900d-78dee080a879D15BCDF2EF32EF4452CE38975920CFFF8AEE653075A41C788ABFE03CD5134A79,Debit,Gambling
61343940-11e3-4ef9-900d-78dee080a879403B6C988E61646E2D7FCB9F0A0F0E143EE46E081005EF2D792785F06DF5676E,Debit,Music
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f9A9A0819A11D95E8804D91BF84777B5F9C4B6EA74CF5FA9859C2C06A362BB2399,Credit,Salary or Wages (Main)
61343940-11e3-4ef9-900d-78dee080a879AEADA4EDDFAC7AD20AC0DE25EACF36E89A4D51A029F4188350B34FB3B50703E6,Debit,"Entertainment, TV, Media"
9219ccc1-8148-486d-bff1-891693d2fafdA7FC8CF5B76A8BD479D5E9E838047B84B6383701DFC886A71642BCA9196C9622,Debit,Appearance
61343940-11e3-4ef9-900d-78dee080a87933210045D06B7DF1CF866361BA9BBCAED44EFB7E32EF1C1C3C48265622C144A7,Debit,"Energy (Gas, Elec, Other)"
9219ccc1-8148-486d-bff1-891693d2fafd80BF6E177B6D87B159B7FFE001ED1C4B2C63037B3556365F412A507F6C6179AA,Credit,No Tag
9219ccc1-8148-486d-bff1-891693d2fafd5EA790043A312209BD86C58E5510F6DD39BD2BAC29FF7B35EDA4C7A20A5E4225,Debit,Music
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f9A96649B4B8CCE3E9D6376630B155F2A486C9C11632174530663DD6D4188C93CA,Debit,"Food, Groceries, Household"
61343940-11e3-4ef9-900d-78dee080a8795900F113EFCC32582152F954DEB5C35012AC9246E98B122B179BDE972BEF9AC4,Debit,No Tag
61343940-11e3-4ef9-900d-78dee080a8796726319E80FE3E26679E5C75EE0C7C16B78E43DDCC719A02F431B251EE67A00E,Debit,"Entertainment, TV, Media"
61343940-11e3-4ef9-900d-78dee080a879675A32D1C84AA24A8603AB93CEF84AC954FD99660207308AB70DE7C455C581AB,Debit,Gambling
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f953B56481424947EE6D619C4FA47017C9183353D005475A6CA651CBA7D64BD367,Debit,Fuel
61343940-11e3-4ef9-900d-78dee080a8798F37B6C1FC563D018E064B9F2693CA7EF84C10508D86DDD6CE0C97C602F4085E,Debit,"Entertainment, TV, Media"
61343940-11e3-4ef9-900d-78dee080a8799517B191A5CB3EDB5AAE484604AA315AE388523E626222D691311157BFE60A50,Debit,"Entertainment, TV, Media"
61343940-11e3-4ef9-900d-78dee080a8799DCE6C0D79B434D474D9C5A7B98B7B3831F4EA9E6E0E902BEA5EF3DE6C4A4A9F,Debit,No Tag
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f93E0C536F97A73B4BCF43FC0B87AA5D0E62A146BE6B2CBB581E5364A54212F99F,Debit,Personal Loan
61343940-11e3-4ef9-900d-78dee080a879549F8EF00DF6D9BB574E27BA82CE1117E953309ECA6D97FDE9ED343FA31E00B9,Debit,"Entertainment, TV, Media"
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f9BF733BCD738F190C33D9D66963ADBE7379D52EF4032CEBE21F4939E9507AC9CB,Debit,Enjoyment
61343940-11e3-4ef9-900d-78dee080a879E249699499A9DA6C3F6CD92AB8F0AE5EFCFD96B4CB6676F97C7E0A829FCC2C17,Debit,Dining and drinking
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f9A29DB41F3296F180EA7C89EC226C3A0B52E1F6F993DA8F0119EF48237690739E,Debit,Credit Card
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f92A63CF6550CCD54A9F348C27F474077C25A5AD5F6633B05D5B01558E20C16D1A,Debit,Personal Loan
61343940-11e3-4ef9-900d-78dee080a879DDDE2E7DCCCDF6AD5F6594AB69D50E3A0223F40BEF63CB044729436E12D4EE2D,Debit,Transfers
61343940-11e3-4ef9-900d-78dee080a879AED1E67484B85170F3986E33A65C9D6AE4CBDE11D13FA3D874D530A5C4668673,Debit,Dining and drinking
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f9254BC20EAD07F76F85CC754FC3295E96060C3F0C31C5130D5FFB2B83B79AB58F,Debit,Credit Card
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f95CEC33DF3EF51BBE072EB38C2F069FF425EA3F096829C6171DEF46A12CCFAA9A,Debit,"Food, Groceries, Household"
61343940-11e3-4ef9-900d-78dee080a879B6DA51810F258B484C918138AA6412093433538886E677940632A7F27D6C473F,Debit,Transfers
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f94B5565DFACCF5B6375773393CC6BFF933BF71D6CB969CF31AC28F27CD72EE2B0,Debit,"Food, Groceries, Household"
61343940-11e3-4ef9-900d-78dee080a8794698E759AA633F628F006383D618CF0C32DE97F463E2585FD0BC2A4435CD28EA,Debit,"Entertainment, TV, Media"
61343940-11e3-4ef9-900d-78dee080a8793D85645FAE11FEFEE3C26F98E25D7B4469A39327EBF53D1184B2D3A27E63D6DD,Debit,Gambling
61343940-11e3-4ef9-900d-78dee080a879DB068399FD896CC184E28F5A0382206D681D1F83C22F8565B1BD6D7C9B481892,Debit,Council Tax
61343940-11e3-4ef9-900d-78dee080a879A7791C2C3A8E8C1C26FA3D01B5E9582ED61042BED8F9205BEF3E7C4BC47F253C,Debit,Enjoyment
61343940-11e3-4ef9-900d-78dee080a879EAE2F7291C9EA70AE4731AEE93709ADFCE55BEC5383166A731E4B8173937BF41,Debit,Enjoyment
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f973C56ECD0631BC071ABFBAA9A533FC50BD08C5104C938456CBC34E84172CB6E8,Debit,Enjoyment
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f96819E08F9576CA20E81F669DE5CAEE4A9F4BB63414B788C57FB50B781D256875,Debit,"Food, Groceries, Household"
61343940-11e3-4ef9-900d-78dee080a879CE5A8640E9DAE57A415DA8D37C1401B2E1ABBE114F241C851DC09C1B9C43BC02,Debit,Enjoyment
7f3e9a70-c064-4cf3-8612-bd6a7d6fe7c0E6E1F08968E494D1680EA032E70844A2B130E8148F6250622D62B0F1F762AE83,Debit,Home
9219ccc1-8148-486d-bff1-891693d2fafd4822023E148E58174E4C26E47FFAA0B76B645C7E92735B54737C9DFADFC230A3,Credit,No Tag
9219ccc1-8148-486d-bff1-891693d2fafdF4AE35EA835B8156926E05BFD00B9B27E9D69E356FCE2AD583FE9E613036EC4F,Debit,Donation to organisation
61343940-11e3-4ef9-900d-78dee080a8792763170D5F664F816FF883777AF11C39B09402DEDE0A7C7F38FAAC07006EAFF9,Debit,"Entertainment, TV, Media"
61343940-11e3-4ef9-900d-78dee080a87998E47E6028C987177EE3B75E1562E269DD741D60E13BAF0D37DC7029C68CC878,Debit,Gambling
61343940-11e3-4ef9-900d-78dee080a879269C3A282F5FBA76391233E52D67700EFC538A451428417383B7467548EF372F,Debit,Transfers
61343940-11e3-4ef9-900d-78dee080a8793EAA66159506B0B5F22491350F618CDBC91E016AD9CF5463EF95FD0113524C33,Debit,"Entertainment, TV, Media"
61343940-11e3-4ef9-900d-78dee080a8798D6216CDC1DAA4EBE16F654B746B09E823E72E7D3DDDDE2581DF09B920D6D6FA,Debit,No Tag
8c8abb40-da8a-455d-9f72-a25449ad4c584B0CA9D1E05D601F7B25DB3CF30FDE047F2DA9E69BD9F19B8F3AD7EFB6EACB01,Debit,No Tag
9219ccc1-8148-486d-bff1-891693d2fafd50849C73FBB1162B69BDB6D9EF3B747F196492420F4607EE96363AF72976E1CC,Debit,Clothes - Everyday or Work
9219ccc1-8148-486d-bff1-891693d2fafd0A0807EDA47CD5B79DEB5449B6077F55632305E46FE84E6C68A72E59E0D6589F,Debit,Bills
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f9BFD1C46EFA558DADE017EEE993300164DAB7CB345BA45E0B694877243422132C,Debit,"Energy (Gas, Elec, Other)"
9219ccc1-8148-486d-bff1-891693d2fafd59C37C0026C000CE3A3C564B42F06D20E3C2271C93E0DD1553DC6CB5E8A6A3DE,Debit,Hobbies or Activities
9219ccc1-8148-486d-bff1-891693d2fafdDF9ED784E6396D2ED8E3868F772659A54559462590A3F186695112D168EEF189,Credit,Family benefits
61343940-11e3-4ef9-900d-78dee080a879FB9B5BBA9C809273AD9774227B6977C9ABF837DCE14EC65B52635BB51B4AED5A,Debit,Gambling
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f917C44BCFED718A654C580773B849B4CA0604A2CAE1A09DDF7A5044E84274EC60,Debit,Life insurance
7f3e9a70-c064-4cf3-8612-bd6a7d6fe7c0E2FDF4EDBCB332253C2862E7B523D11449C37C3EAEBA8EBA87F5D4CA3864E12A,Debit,"Food, Groceries, Household"
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f930DA1DF7C3813061D71EB44AC245F908FF36B6D86C64DB00B20BEBC4492DE043,Debit,"Food, Groceries, Household"
61343940-11e3-4ef9-900d-78dee080a8795F77D3D5236E93B2115CEF9CB7500BA07602AF434090C25CB262536F7457A801,Debit,"Entertainment, TV, Media"
7f3e9a70-c064-4cf3-8612-bd6a7d6fe7c0ACF71BCBFB25734FEE19CBF853A09E54CEAFC4B8F61AFD1005F3B138EB36C7C7,Debit,No Tag
9219ccc1-8148-486d-bff1-891693d2fafdCB3E37CCF9ADA435E4A199B7140D0218B1F231B0EDFA1D965C88CC38EEDE795F,Debit,No Tag
9219ccc1-8148-486d-bff1-891693d2fafd49884AAA2FD7AA73F686524F0ED9E13836923EF85E321CC223DDF2BC30EA4B95,Debit,No Tag
61343940-11e3-4ef9-900d-78dee080a879EDA98FCEFD733DBBA5FBC2A19B7569F8AF9920D76BDD747DA58EAFD6CF7E1035,Debit,"Food, Groceries, Household"
9219ccc1-8148-486d-bff1-891693d2fafd7BE4FB7D4605E61C1F3EDE2943A454828CC7A8C670B97C2B69E786724E720424,Credit,No Tag
9219ccc1-8148-486d-bff1-891693d2fafd05229293F2B0047752B6D15D332C6FAF7C0C2182D1027C875DA2BA2A79609338,Debit,Fuel
9219ccc1-8148-486d-bff1-891693d2fafdF0D1BE7B3077BD70FC19DFDAD6DA25CBA024B371C60E7D1860856A1F7DDA2AF8,Debit,Home
9219ccc1-8148-486d-bff1-891693d2fafd04007D294B85A90CCD0B1EC6E8E2F4C53A17FA21B84F2807E0C4F5734E9518BF,Debit,Bills
61343940-11e3-4ef9-900d-78dee080a87987BD77905BC9DAF8C23EFEB5F8FBD0440E05B71358DF5C631539CADB5EB25E42,Debit,Gambling
08cb3cb6-5792-4308-b121-caa94d0a9a5a4A3C4A97995E65E28E389161A98772881C29B34A7DCB2DD853D17398709632AD,Credit,Transfers
9219ccc1-8148-486d-bff1-891693d2fafd039F221484BC52433C12CC1509BACEC821837D31C606684FB86D855196B4484B,Debit,Dining or Going Out
9219ccc1-8148-486d-bff1-891693d2fafd04DB1EC6B70D9409D033C0AFC6787A224BBB2168242BEB88B832E43E017DAB07,Debit,Fuel
9219ccc1-8148-486d-bff1-891693d2fafdDDD2692B304C9DBE57BEB117FFEAA7C3D65B5F3E828E6685243EAA08A3FE03EE,Debit,Personal Loan
7f3e9a70-c064-4cf3-8612-bd6a7d6fe7c09D79721E16DCB06503F06EED69E3B422271F5125D89832FE9996CC357AE23BFA,Debit,"Food, Groceries, Household"
7f3e9a70-c064-4cf3-8612-bd6a7d6fe7c01FAB1D036680D63BDC4B077E9DC3E946326738A14E02A671CF376B174B723A6C,Debit,Council Tax
7f3e9a70-c064-4cf3-8612-bd6a7d6fe7c0333EF73D005F77C0160C4BF576403C0C62CF21A6D1CFC86BD02BD73155B9B4E5,Debit,Clothes - Everyday or Work
61343940-11e3-4ef9-900d-78dee080a879D6F6372B2DC440A055DC9A4BFBDEAE38893C9732388E877070EC13931ABDA2C1,Debit,Enjoyment
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f9E37D5F7E7D8405C072048F32D649A04942184816E2A7E9394A270AFC5ACB4B59,Debit,Enjoyment
9219ccc1-8148-486d-bff1-891693d2fafd9270046D59E4DA4D4B7BA2ED1107C7CEA82B1157E5DED5780376BBA36EFFBC7D,Credit,No Tag
7f3e9a70-c064-4cf3-8612-bd6a7d6fe7c08B729A018A65A544686FFDD55A5047CD53C077546FA1E9978F9D91E55070337C,Debit,"Food, Groceries, Household"
9219ccc1-8148-486d-bff1-891693d2fafdA7732F100ADE5F31DDF9218545FD5E7E50650F88C4544F7339CA515BF92345F7,Credit,Family benefits
9219ccc1-8148-486d-bff1-891693d2fafdA1B43A0EB16B1D3FCB824D82C2335DE26D93E00C809BC846AAE0557FB1EF3B4E,Debit,"Food, Groceries, Household"
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f96A030B958C98EB316911B8FE4F8ECADAF9A648D423D3D4422F5BDF8A9B397B66,Debit,Parking
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f9CD0358AFFD02FF5C7F0E11D38ACA90B423BCD7E82D82FE7518BD8EA24F4C1DA9,Debit,Credit Card
8c8abb40-da8a-455d-9f72-a25449ad4c585E8067499D6F353C21B443A2ECAC7FF7655F71949F453935BDFF2E45FB1E93EE,Credit,No Tag
9219ccc1-8148-486d-bff1-891693d2fafd5413D666D1F41E598724EB052D06F7D0B8151CB1433A8A1863DDBE6B12402BDB,Debit,No Tag
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f9B1FC362DBD07CE73CFC5EC5B0852427EEDB60A09C6F6EC4CF228E4C6C76E5E40,Debit,No Tag
61343940-11e3-4ef9-900d-78dee080a8797CBA9CFCC72B020A2394C447293754256D24C19D4AF98B63333E25BF05B4E988,Debit,No Tag
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f92675D64DAC740C74AC778AF648B52D5DFCDE58426ECD1593E795FCBAAB7D57D4,Debit,Lunch or Snacks
61343940-11e3-4ef9-900d-78dee080a8795340B240E84103CA3D873CA822E8C2B7CF7CA3B13E911BEFA30B87527EEE5472,Debit,Council Tax
08cb3cb6-5792-4308-b121-caa94d0a9a5a4EE5B554AE6168DBFBD4F6A5C96269FAF4442B6ABD262257995FA18E0F952627,Debit,Bank charges
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f9DCC7F0E8522E7645575FC32BC621F9213BA24E1A302FDF02810C9D9AC12FBE20,Debit,"Entertainment, TV, Media"
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f92E833551C9979AB4F0F03A3B87F729A58B17E282D360E137AF6D3F7F35E237D3,Debit,Transfers
61343940-11e3-4ef9-900d-78dee080a8790062C6460B8104E44003C9B50633FF4367028634DFD8CD470C01B65509176901,Debit,No Tag
61343940-11e3-4ef9-900d-78dee080a8797305593F2B12B3882EF2075449D66EC4C719371BC32EBF0D80F29A5E06900111,Debit,"Food, Groceries, Household"
7f3e9a70-c064-4cf3-8612-bd6a7d6fe7c09743727BFBC4A2EE894394695EB787615AEFAFE78C4FB0D4D7410AD307E4E9C2,Debit,No Tag
08cb3cb6-5792-4308-b121-caa94d0a9a5aB56BAF6B00C11A330D1F07B03240F6150DDE99B62748E7E35666EC9278296311,Debit,Bank charges
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f9F9AB19E535423649FB49DC17017EBB09E2D656D26DBA5E201B1387D0FAB1DAA6,Debit,"Food, Groceries, Household"
