USER_ID,AGE_BAND,SALARY_BAND,POSTCODE,LSOA,MSOA,GENDER
59618cc99ed8c11e072c03f91696aff805f5d27d5d2b6ec0b28a3238fab7f34b,45-49,40K to 50K,S8 0,E01007829,E02001669,M
c53091f1c07f415f4b824dc7857e2c71803d5d8c2984b213e0faa68c7b1a1bff,45-49,40K to 50K,EH22 2,S01011006,S02002065,M
1959eef564cbc0832dbd8a2680471d69f60214399ccf73fc38cb693acbfeb42c,35-39,20K to 30K,OX12 8,E01028755,E02005991,F
42d17dc5769a25fa81e3e5a85f54f40a1310ddc5b5b29a3db6c4d60d098b4643,50-54,10K to 20K,YO11 2,E01027854,E02005804,M
